450845003775234048|35.82840584|-78.58814956|MarkaelDupree|Tue Apr 01 03:59:59 +0000 2014|@RatedRnasty3_ haha hopefully !|haha hopefully
450845003854536704|32.80947163|-116.91216669|darthraedar|Tue Apr 01 03:59:59 +0000 2014|@kenraldchua SAME|same
450845003896479744|33.01608281|-97.30442766|hungrypoop|Tue Apr 01 03:59:59 +0000 2014|i wish i could play the moog synthesizer|could moog play synthesizer the wish
450845003904868354|41.61400034|-87.91314315|Socalfan21|Tue Apr 01 03:59:59 +0000 2014|@ChiBulls_Chris we can rewrite a script and reenact the show if you'd like.|and can like reenact rewrite script show the you
450845003925843968|30.1110886|-95.12464941|NikeZROking|Tue Apr 01 03:59:59 +0000 2014|@KKalbitz haha. Your dms are going to shut down twitter after tonight|after are dms down going haha shut tonight twitter your
450845003980349440|46.56322452|-87.40671828|lextiensivu|Tue Apr 01 03:59:59 +0000 2014|@cullenmoss29 wrong|wrong
450845004320505857|37.5781266|-77.54026816|siuette|Tue Apr 01 03:59:59 +0000 2014|There's a reason why we might feel out of place now. Sooner or later, we'll all find a place we fit perfectly in.|all feel find fit later might now out perfectly place reason sooner there why
450845004354027520|37.48963948|-77.65937786|GrossRexman|Tue Apr 01 03:59:59 +0000 2014|@OneM24 it's a start. We're only awful at safety.|awful only safety start
450845004441718784|41.41464531|-83.45596919|2014_mckayla|Tue Apr 01 04:00:00 +0000 2014|happy birthday @LoganPaul 🎉🎉|birthday happy
450845004529811456|37.49432023|-119.97443418|kingmiggy5|Tue Apr 01 04:00:00 +0000 2014|“@NiggasBLike: Crazy girlfriends Be Like... http://t.co/FGqOoGZIaL” more like me huh @torim_21|crazy girlfriends huh like more niggasblike
450845004643061760|45.11726431|-93.04543123|_kelspres|Tue Apr 01 04:00:00 +0000 2014|I think way too much|much think too way
450845004798652416|27.14564498|-80.28159734|Gimmethat_Jessi|Tue Apr 01 04:00:00 +0000 2014|Can't wait to get coffee tm morning😋|can coffee get morning wait
450845004819619840|35.1772316|-80.70450287|Heyyy_ItsKayyy|Tue Apr 01 04:00:00 +0000 2014|And I want a blueberry bagel ...but it's so farrrrrrr|and bagel blueberry but farrrrrrr want
450845004844367872|47.0014178|-122.7942584|e_weezy5|Tue Apr 01 04:00:00 +0000 2014|Stomach😩😤|stomach
450845005079257088|39.6463848|-104.7462001|broetter|Tue Apr 01 04:00:00 +0000 2014|@HardToPIease well damn.|damn well
450845005125414912|27.8724313|-97.20936603|j_weezy045|Tue Apr 01 04:00:00 +0000 2014|Well...😏 http://t.co/8DrKz8hMKk|well
450845005142171648|29.422758|-98.5618056|joe18060|Tue Apr 01 04:00:00 +0000 2014|Sleepy af but staying up to talk to belen|belen but sleepy staying talk
450845005217685504|37.69201596|-122.07005807|kateyboooo|Tue Apr 01 04:00:00 +0000 2014|"For whoever keeps the whole law but fails in one point has become accountable for all of it." James 2:10|accountable all become but fails for has james keeps law one point the whoever whole
450845005310349312|41.8839735|-71.3989687|cellbl0ck|Tue Apr 01 04:00:00 +0000 2014|Hashtag new house|hashtag house new
450845005368680448|41.42609117|-91.0549077|aaurelieee|Tue Apr 01 04:00:00 +0000 2014|on my feelings|feelings
450845005414813696|33.59660902|-117.88537093|allie_bruno|Tue Apr 01 04:00:00 +0000 2014|@scottpattton ill do u on the bottom while were drinking sangria. nachos, lemon heads, my dads boat, u won't to down cuz my dick can float.|boat bottom can cuz dads dick down drinking float heads ill lemon nachos sangria the were while won
450845005457158144|35.90933092|-86.36467756|skylernorrod|Tue Apr 01 04:00:00 +0000 2014|MY SKIN IS SO ITCHY 😩|itchy skin
450845005565812736|40.00436233|-83.0054983|AlexisPizzulo|Tue Apr 01 04:00:00 +0000 2014|“@DjZiGGYPANTS: Coco Crisp is still the best name in sports” no love for Rusty Kuntz?|best coco crisp djziggypants for kuntz love name rusty sports still the
450845005620334592|33.44676944|-111.95284814|e_alexandra|Tue Apr 01 04:00:00 +0000 2014|@LaloYanezLue sinceramente gracias por esto de los poemas... Es lindo y estoy aprendiendo un buen!! 🙏|aprendiendo buen esto estoy gracias lindo los poemas por sinceramente
450845005679038464|32.55069638|-97.35721864|taylorraby28|Tue Apr 01 04:00:00 +0000 2014|“@Chloe_baby101: I'm such a rude bitch, I'm sorry really” #mylife|#mylife baby101 bitch chloe really rude sorry such
450845005859807232|40.8495293|-73.937659|meagan_eldridge|Tue Apr 01 04:00:00 +0000 2014|Your parents know who your fake friends are before you do.|are before fake friends know parents who you your
450845005989814272|34.69531602|-82.81073068|savayvay|Tue Apr 01 04:00:00 +0000 2014|@JeverlyD @midnight fuck that dog|dog fuck that
450845006115667968|30.99738188|-97.76766652|kaylakearney05|Tue Apr 01 04:00:00 +0000 2014|Is Jazirae hinting something about prom over here?|about here hinting jazirae over prom something
450845006606397440|43.44682068|-79.75481742|jtambarh|Tue Apr 01 04:00:00 +0000 2014|all this mess for one stupid ass kids book👏 http://t.co/VWSn8yi2UI|all ass book for kids mess one stupid this
450845007138672640|45.74742266|-108.55358725|watashi25|Tue Apr 01 04:00:00 +0000 2014|Jwu di ko talaga nakayanan yung antok kanina.|antok jwu kanina nakayanan talaga yung
450845007302234113|34.14389442|-117.39141768|Andy40oz|Tue Apr 01 04:00:00 +0000 2014|@Ayywica "for a little" 😭😭😭😭😭 hahaha|for hahaha little
450845007373537280|40.4349264|-111.75548392|OliveSunderlage|Tue Apr 01 04:00:00 +0000 2014|why do I even HAVE a twitter. it only gives me headaches and brain rumors|and brain even gives have headaches only rumors twitter why
450845007411294209|37.38366114|-97.1247959|Shelbylauren223|Tue Apr 01 04:00:00 +0000 2014|There's so many of the Disney princesses in the movie Frozen. Wooah 😱|disney frozen many movie princesses the there wooah
450845007482605568|39.67004953|-86.26687434|BradHasSwagger|Tue Apr 01 04:00:00 +0000 2014|Yo happy birthday to the ugliest of them all @TheChrisCornett|all birthday happy the them ugliest
450845007633588225|33.42269085|-111.93005373|bryciii|Tue Apr 01 04:00:00 +0000 2014|My sister would get on the @AnaheimDucks kiss cam... #YES @PeytonZiemer ❤️|#yes cam get kiss sister the would
450845007688531968|35.41902487|-78.80424554|ashtongravelle|Tue Apr 01 04:00:00 +0000 2014|A dream I've had for years came true tonight 😊 I can't believe I got to meet my favorite band and… http://t.co/pTPJZIueek|and band believe came can dream favorite for got had meet tonight true years
450845007696498688|40.10476426|-88.22259793|shits_n_gigs_|Tue Apr 01 04:00:00 +0000 2014|I'm just an insignificant person with insignificant problems.|insignificant just person problems with
450845007763615744|44.2985834|-93.272852|FatButFly|Tue Apr 01 04:00:00 +0000 2014|https://t.co/bqcGL9ilb0 Big shout out to my bros @ThatTwoGuad @Eddy_StyleZ for killin this vid and keepin the movement alive #stilljerkin|#stilljerkin alive and big bros for keepin killin movement out shout the this vid
